Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/23/2026,02/23/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-91.33,
02/24/2026,02/24/2026,SQ *PHILZ COFFEE,,Sale,-58.87,
02/25/2026,02/25/2026,GOOGLE *Hulu g.co/helppay#,,Sale,-9.99,
02/26/2026,02/26/2026,PAYPAL *ETSY INC 4029357733,,Sale,-34.71,
02/27/2026,02/27/2026,IN N OUT BURGER 234,,Sale,-14.03,
02/27/2026,02/27/2026,TARGET T-2213 UNION CITY CA,,Sale,-86.68,
02/28/2026,02/28/2026,PUBLIX #1397 MIAMI FL,,Sale,-91.78,
02/28/2026,02/28/2026,ZXC* Site Access 800-123-4567,,Sale,-12.00,
03/01/2026,03/01/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-48.80,
03/02/2026,03/02/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-78.16,
03/02/2026,03/02/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-81.52,
03/02/2026,03/02/2026,TST* TARTINE BAKERY 0091,,Sale,-70.17,
03/03/2026,03/03/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-39.70,
03/03/2026,03/03/2026,AWS EMEA aws.amazon.co,,Sale,-58.67,
03/03/2026,03/03/2026,NETFLIX 866-579-7172 LOS GATOS CA,,Sale,-24.99,
03/04/2026,03/04/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-53.52,
03/05/2026,03/05/2026,PUBLIX #1397 MIAMI FL,,Sale,-93.31,
03/05/2026,03/05/2026,TARGET T-2213 UNION CITY CA,,Sale,-23.32,
03/05/2026,03/05/2026,TST* TARTINE BAKERY 0091,,Sale,-8.16,
03/06/2026,03/06/2026,SHELL OIL 57444216508,,Sale,-27.92,
03/06/2026,03/06/2026,SHELL OIL 57444216508,,Sale,-44.55,
03/06/2026,03/06/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-54.51,
03/07/2026,03/07/2026,Amazon Prime,,Sale,-14.99,
03/08/2026,03/08/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-10.98,
03/08/2026,03/08/2026,TST* TARTINE BAKERY 0091,,Sale,-80.83,
03/09/2026,03/09/2026,CLAUDE.AI SUBSCRIPTION,,Sale,-20.00,
03/10/2026,03/10/2026,SHELL OIL 57444216508,,Sale,-23.68,
03/11/2026,03/11/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-9.38,
03/11/2026,03/11/2026,APPLE.COM/BILL 866-712-7753,,Sale,-16.99,
03/11/2026,03/11/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-89.85,
03/11/2026,03/11/2026,SQ *PHILZ COFFEE,,Sale,-68.94,
03/12/2026,03/12/2026,SHELL OIL 57444216508,,Sale,-78.68,
03/12/2026,03/12/2026,SQ *PHILZ COFFEE,,Sale,-6.25,
03/12/2026,03/12/2026,SQ *PHILZ COFFEE,,Sale,-6.25,
03/13/2026,03/13/2026,PSP*convenient store NY,,Sale,-87.86,
03/13/2026,03/13/2026,TST* TARTINE BAKERY 0091,,Sale,-6.20,
03/14/2026,03/14/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-92.89,
03/14/2026,03/14/2026,BT*SUPER+1-833-773-8471 SAN FRANCISCO CA,,Sale,-8.99,
03/14/2026,03/14/2026,SAFEWAY #1842 FREMONT CA,,Sale,-60.47,
03/14/2026,03/14/2026,SHELL OIL 57444216508,,Sale,-92.11,
03/15/2026,03/15/2026,IN N OUT BURGER 234,,Sale,-17.54,
03/15/2026,03/15/2026,TARGET T-2213 UNION CITY CA,,Sale,-18.87,
03/17/2026,03/17/2026,SHELL OIL 57444216508,,Sale,-86.55,
03/17/2026,03/17/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-35.02,
03/18/2026,03/18/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-66.73,
03/18/2026,03/18/2026,SQ *PHILZ COFFEE,,Sale,-24.24,
03/18/2026,03/18/2026,SQ *PHILZ COFFEE,,Sale,-80.05,
03/19/2026,03/19/2026,HBOMAX.COM,,Sale,-16.99,
03/20/2026,03/20/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-29.58,
03/20/2026,03/20/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-59.61,
03/21/2026,03/21/2026,SAFEWAY #1842 FREMONT CA,,Sale,-17.54,
03/23/2026,03/23/2026,PSP*convenient store NY,,Sale,-59.59,
03/23/2026,03/23/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-35.64,
03/25/2026,03/25/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-67.98,
03/25/2026,03/25/2026,GOOGLE*HULU,,Sale,-9.99,
03/26/2026,03/26/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-30.30,
03/26/2026,03/26/2026,PSP*convenient store NY,,Sale,-58.23,
03/26/2026,03/26/2026,PUBLIX #1397 MIAMI FL,,Sale,-88.31,
03/27/2026,03/27/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-80.98,
03/27/2026,03/27/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-22.87,
03/27/2026,03/27/2026,TST* TARTINE BAKERY 0091,,Sale,-89.63,
03/28/2026,03/28/2026,SAFEWAY #1842 FREMONT CA,,Sale,-31.86,
03/28/2026,03/28/2026,SQ *PHILZ COFFEE,,Sale,-86.63,
03/28/2026,03/28/2026,ZXC* Site Access 800-123-4567,,Sale,-12.00,
03/30/2026,03/30/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-10.96,
03/30/2026,03/30/2026,SAFEWAY #1842 FREMONT CA,,Sale,-83.30,
03/31/2026,03/31/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-20.74,
04/01/2026,04/01/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-57.06,
04/01/2026,04/01/2026,VENMO*PAYMENT,,Sale,-51.62,
04/02/2026,04/02/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-26.78,
04/02/2026,04/02/2026,VENMO*PAYMENT,,Sale,-94.57,
04/03/2026,04/03/2026,AWS EMEA aws.amazon.co,,Sale,-53.14,
04/03/2026,04/03/2026,NETFLIX 866-579-7172 LOS GATOS CA,,Sale,-26.99,
04/03/2026,04/03/2026,PSP*convenient store NY,,Sale,-85.82,
04/03/2026,04/03/2026,PUBLIX #1397 MIAMI FL,,Sale,-62.05,
04/03/2026,04/03/2026,PUBLIX #1397 MIAMI FL,,Sale,-89.14,
04/04/2026,04/04/2026,TARGET T-2213 UNION CITY CA,,Sale,-8.78,
04/05/2026,04/05/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-79.18,
04/06/2026,04/06/2026,PSP*convenient store NY,,Sale,-18.37,
04/06/2026,04/06/2026,PSP*convenient store NY,,Sale,-32.56,
04/06/2026,04/06/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-74.67,
04/07/2026,04/07/2026,AMAZON PRIME*MW4XY2,,Sale,-14.99,
04/07/2026,04/07/2026,PAYPAL *ETSY INC 4029357733,,Sale,-40.51,
04/07/2026,04/07/2026,TARGET T-2213 UNION CITY CA,,Sale,-90.41,
04/07/2026,04/07/2026,TST* TARTINE BAKERY 0091,,Sale,-79.20,
04/08/2026,04/08/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-50.10,
04/09/2026,04/09/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-6.46,
04/09/2026,04/09/2026,CLAUDE.AI SUBSCRIPTION,,Sale,-20.00,
04/09/2026,04/09/2026,IN N OUT BURGER 234,,Sale,-61.08,
04/11/2026,04/11/2026,APPLE.COM/BILL,,Sale,-16.99,
04/12/2026,04/12/2026,VENMO*PAYMENT,,Sale,-55.98,
04/13/2026,04/13/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-84.05,
04/13/2026,04/13/2026,TST* TARTINE BAKERY 0091,,Sale,-62.45,
04/14/2026,04/14/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-5.90,
04/14/2026,04/14/2026,BT*SUPER+1-833-773-8471 SAN FRANCISCO CA,,Sale,-8.99,
04/16/2026,04/16/2026,IN N OUT BURGER 234,,Sale,-49.57,
04/16/2026,04/16/2026,TARGET T-2213 UNION CITY CA,,Sale,-37.77,
04/19/2026,04/19/2026,HBOMAX.COM,,Sale,-16.99,
04/19/2026,04/19/2026,SHELL OIL 57444216508,,Sale,-31.33,
04/20/2026,04/20/2026,VENMO*PAYMENT,,Sale,-21.24,
04/21/2026,04/21/2026,IN N OUT BURGER 234,,Sale,-34.98,
04/21/2026,04/21/2026,PUBLIX #1397 MIAMI FL,,Sale,-39.06,
04/21/2026,04/21/2026,SQ *PHILZ COFFEE,,Sale,-11.66,
04/22/2026,04/22/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-47.52,
04/22/2026,04/22/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-55.34,
04/22/2026,04/22/2026,SHELL OIL 57444216508,,Sale,-37.66,
04/23/2026,04/23/2026,TARGET T-2213 UNION CITY CA,,Sale,-45.61,
04/23/2026,04/23/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-11.14,
04/24/2026,04/24/2026,PSP*convenient store NY,,Sale,-78.08,
04/24/2026,04/24/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-92.42,
04/25/2026,04/25/2026,GOOGLE *Hulu g.co/helppay#,,Sale,-9.99,
04/27/2026,04/27/2026,PAYPAL *ETSY INC 4029357733,,Sale,-8.57,
04/28/2026,04/28/2026,IN N OUT BURGER 234,,Sale,-19.15,
04/28/2026,04/28/2026,SQ *PHILZ COFFEE,,Sale,-69.29,
04/28/2026,04/28/2026,ZXC* Site Access 800-123-4567,,Sale,-12.00,
04/29/2026,04/29/2026,PAYPAL *ETSY INC 4029357733,,Sale,-35.77,
05/01/2026,05/01/2026,TST* TARTINE BAKERY 0091,,Sale,-88.90,
05/02/2026,05/02/2026,PAYPAL *ETSY INC 4029357733,,Sale,-73.96,
05/02/2026,05/02/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-48.61,
05/03/2026,05/03/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-75.98,
05/03/2026,05/03/2026,AWS EMEA aws.amazon.co,,Sale,-15.76,
05/03/2026,05/03/2026,NETFLIX.COM,,Sale,-26.99,
05/03/2026,05/03/2026,PSP*convenient store NY,,Sale,-53.72,
05/04/2026,05/04/2026,PSP*convenient store NY,,Sale,-52.24,
05/04/2026,05/04/2026,SQ *PHILZ COFFEE,,Sale,-43.03,
05/04/2026,05/04/2026,TARGET T-2213 UNION CITY CA,,Sale,-6.96,
05/05/2026,05/05/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-15.03,
05/05/2026,05/05/2026,SHELL OIL 57444216508,,Sale,-9.90,
05/05/2026,05/05/2026,TST* TARTINE BAKERY 0091,,Sale,-32.28,
05/07/2026,05/07/2026,AMAZON PRIME*MW4XY2,,Sale,-14.99,
05/07/2026,05/07/2026,PAYPAL *ETSY INC 4029357733,,Sale,-79.86,
05/07/2026,05/07/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-78.19,
05/07/2026,05/07/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-88.37,
05/08/2026,05/08/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-33.34,
05/09/2026,05/09/2026,CLAUDE.AI SUBSCRIPTION,,Sale,-20.00,
05/09/2026,05/09/2026,SHELL OIL 57444216508,,Sale,-75.23,
05/10/2026,05/10/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-37.96,
05/10/2026,05/10/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-29.24,
05/10/2026,05/10/2026,PAYPAL *ETSY INC 4029357733,,Sale,-21.99,
05/11/2026,05/11/2026,APPLE.COM/BILL 866-712-7753,,Sale,-16.99,
05/11/2026,05/11/2026,SHELL OIL 57444216508,,Sale,-40.25,
05/13/2026,05/13/2026,PSP*convenient store NY,,Sale,-89.00,
05/14/2026,05/14/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-66.99,
05/14/2026,05/14/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-12.62,
05/14/2026,05/14/2026,SUPER+ *1833-773-8471,,Sale,-8.99,
05/15/2026,05/15/2026,SAFEWAY #1842 FREMONT CA,,Sale,-19.87,
05/17/2026,05/17/2026,IN N OUT BURGER 234,,Sale,-34.44,
05/17/2026,05/17/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-19.55,
05/17/2026,05/17/2026,TARGET T-2213 UNION CITY CA,,Sale,-31.21,
05/19/2026,05/19/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-52.82,
05/19/2026,05/19/2026,HBOMAX.COM,,Sale,-16.99,
05/19/2026,05/19/2026,IN N OUT BURGER 234,,Sale,-14.31,
05/19/2026,05/19/2026,PAYPAL *ETSY INC 4029357733,,Sale,-76.14,
05/20/2026,05/20/2026,SAFEWAY #1842 FREMONT CA,,Sale,-78.94,
05/20/2026,05/20/2026,VENMO*PAYMENT,,Sale,-17.66,
05/21/2026,05/21/2026,PUBLIX #1397 MIAMI FL,,Sale,-71.19,
05/22/2026,05/22/2026,VENMO*PAYMENT,,Sale,-76.94,
05/23/2026,05/23/2026,PSP*convenient store NY,,Sale,-35.49,
05/24/2026,05/24/2026,PAYPAL *ETSY INC 4029357733,,Sale,-79.18,
05/25/2026,05/25/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-47.95,
05/25/2026,05/25/2026,GOOGLE *Hulu g.co/helppay#,,Sale,-9.99,
05/25/2026,05/25/2026,VENMO*PAYMENT,,Sale,-64.75,
05/27/2026,05/27/2026,PAYPAL *ETSY INC 4029357733,,Sale,-30.24,
05/27/2026,05/27/2026,VENMO*PAYMENT,,Sale,-56.15,
05/28/2026,05/28/2026,SAFEWAY #1842 FREMONT CA,,Sale,-39.29,
05/28/2026,05/28/2026,ZXC* Site Access 800-123-4567,,Sale,-12.00,
05/29/2026,05/29/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-59.35,
05/29/2026,05/29/2026,PAYPAL *ETSY INC 4029357733,,Sale,-54.36,
05/29/2026,05/29/2026,TARGET T-2213 UNION CITY CA,,Sale,-62.57,
05/30/2026,05/30/2026,PSP*convenient store NY,,Sale,-37.12,
05/30/2026,05/30/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-10.78,
05/31/2026,05/31/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-41.62,
05/31/2026,05/31/2026,TST* TARTINE BAKERY 0091,,Sale,-32.24,
05/31/2026,05/31/2026,TST* TARTINE BAKERY 0091,,Sale,-52.53,
06/02/2026,06/02/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-27.31,
06/02/2026,06/02/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-57.78,
06/02/2026,06/02/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-27.74,
06/03/2026,06/03/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-15.62,
06/03/2026,06/03/2026,AWS EMEA aws.amazon.co,,Sale,-44.36,
06/03/2026,06/03/2026,NETFLIX.COM,,Sale,-26.99,
06/03/2026,06/03/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-34.26,
06/06/2026,06/06/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-39.91,
06/06/2026,06/06/2026,IN N OUT BURGER 234,,Sale,-33.44,
06/06/2026,06/06/2026,SHELL OIL 57444216508,,Sale,-43.60,
06/07/2026,06/07/2026,AMAZON PRIME*MW4XY2,,Sale,-14.99,
06/08/2026,06/08/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-90.21,
06/08/2026,06/08/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-56.13,
06/09/2026,06/09/2026,CLAUDE.AI SUBSCRIPTION,,Sale,-20.00,
06/09/2026,06/09/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-71.93,
06/09/2026,06/09/2026,SAFEWAY #1842 FREMONT CA,,Sale,-68.47,
06/10/2026,06/10/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-12.30,
06/10/2026,06/10/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-6.32,
06/11/2026,06/11/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-91.78,
06/11/2026,06/11/2026,APPLE.COM/BILL 866-712-7753,,Sale,-16.99,
06/11/2026,06/11/2026,PSP*convenient store NY,,Sale,-91.82,
06/11/2026,06/11/2026,TARGET T-2213 UNION CITY CA,,Sale,-5.87,
06/12/2026,06/12/2026,SHELL OIL 57444216508,,Sale,-72.96,
06/13/2026,06/13/2026,PUBLIX #1397 MIAMI FL,,Sale,-37.95,
06/14/2026,06/14/2026,SHELL OIL 57444216508,,Sale,-47.22,
06/14/2026,06/14/2026,SUPER+ *1833-773-8471,,Sale,-8.99,
06/15/2026,06/15/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-9.05,
06/15/2026,06/15/2026,SAFEWAY #1842 FREMONT CA,,Sale,-13.54,
06/15/2026,06/15/2026,TST* TARTINE BAKERY 0091,,Sale,-34.97,
06/16/2026,06/16/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-76.22,
06/18/2026,06/18/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-92.74,
06/18/2026,06/18/2026,IN N OUT BURGER 234,,Sale,-50.23,
06/18/2026,06/18/2026,SQ *PHILZ COFFEE,,Sale,-31.46,
06/19/2026,06/19/2026,BT*HBO MAX 877-871-4204,,Sale,-16.99,
06/19/2026,06/19/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-63.35,
06/19/2026,06/19/2026,IN N OUT BURGER 234,,Sale,-63.79,
06/20/2026,06/20/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-56.18,
06/21/2026,06/21/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-63.26,
06/21/2026,06/21/2026,SAFEWAY #1842 FREMONT CA,,Sale,-17.58,
06/22/2026,06/22/2026,PAYPAL *ETSY INC 4029357733,,Sale,-18.07,
06/22/2026,06/22/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-88.01,
06/23/2026,06/23/2026,IN N OUT BURGER 234,,Sale,-91.83,
06/23/2026,06/23/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-32.95,
06/24/2026,06/24/2026,PUBLIX #1397 MIAMI FL,,Sale,-39.92,
06/25/2026,06/25/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-38.99,
06/25/2026,06/25/2026,GOOGLE*HULU,,Sale,-9.99,
06/25/2026,06/25/2026,VENMO*PAYMENT,,Sale,-43.03,
06/26/2026,06/26/2026,PAYPAL *ETSY INC 4029357733,,Sale,-29.21,
06/26/2026,06/26/2026,PSP*convenient store NY,,Sale,-49.77,
06/26/2026,06/26/2026,TST* TARTINE BAKERY 0091,,Sale,-55.55,
06/27/2026,06/27/2026,IN N OUT BURGER 234,,Sale,-84.70,
06/27/2026,06/27/2026,SAFEWAY #1842 FREMONT CA,,Sale,-46.43,
06/27/2026,06/27/2026,TARGET T-2213 UNION CITY CA,,Sale,-77.74,
06/28/2026,06/28/2026,SAFEWAY #1842 FREMONT CA,,Sale,-83.23,
06/28/2026,06/28/2026,SHELL OIL 57444216508,,Sale,-7.65,
06/28/2026,06/28/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-88.20,
06/28/2026,06/28/2026,ZXC* Site Access 800-123-4567,,Sale,-12.00,
06/29/2026,06/29/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-13.80,
06/30/2026,06/30/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-41.42,
07/02/2026,07/02/2026,PUBLIX #1397 MIAMI FL,,Sale,-39.97,
07/03/2026,07/03/2026,AMAZON WEB SERVICES AWS.AMAZON.CO,,Sale,-30.74,
07/03/2026,07/03/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-76.46,
07/03/2026,07/03/2026,NETFLIX 866-579-7172 LOS GATOS CA,,Sale,-26.99,
07/03/2026,07/03/2026,SQ *PHILZ COFFEE,,Sale,-69.68,
07/03/2026,07/03/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-8.25,
07/04/2026,07/04/2026,IN N OUT BURGER 234,,Sale,-24.91,
07/05/2026,07/05/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-48.86,
07/05/2026,07/05/2026,PSP*convenient store NY,,Sale,-89.29,
07/05/2026,07/05/2026,PUBLIX #1397 MIAMI FL,,Sale,-30.65,
07/06/2026,07/06/2026,PSP*convenient store NY,,Sale,-89.86,
07/06/2026,07/06/2026,TST* TARTINE BAKERY 0091,,Sale,-29.40,
07/06/2026,07/06/2026,VENMO*PAYMENT,,Sale,-91.82,
07/07/2026,07/07/2026,Amazon Prime,,Sale,-14.99,
07/08/2026,07/08/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-71.46,
07/08/2026,07/08/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-58.80,
07/08/2026,07/08/2026,TARGET T-2213 UNION CITY CA,,Sale,-22.20,
07/09/2026,07/09/2026,CLAUDE.AI SUBSCRIPTION,,Sale,-20.00,
07/10/2026,07/10/2026,VENMO*PAYMENT,,Sale,-53.13,
07/11/2026,07/11/2026,APPLE.COM/BILL 866-712-7753,,Sale,-16.99,
07/11/2026,07/11/2026,SHELL OIL 57444216508,,Sale,-31.40,
07/11/2026,07/11/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-57.31,
07/11/2026,07/11/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-58.40,
07/13/2026,07/13/2026,PUBLIX #1397 MIAMI FL,,Sale,-91.52,
07/13/2026,07/13/2026,SAFEWAY #1842 FREMONT CA,,Sale,-57.14,
07/13/2026,07/13/2026,TST* TARTINE BAKERY 0091,,Sale,-39.17,
07/14/2026,07/14/2026,BT*SUPER+1-833-773-8471 SAN FRANCISCO CA,,Sale,-8.99,
07/14/2026,07/14/2026,PUBLIX #1397 MIAMI FL,,Sale,-59.47,
07/14/2026,07/14/2026,SHELL OIL 57444216508,,Sale,-63.66,
07/17/2026,07/17/2026,PSP*convenient store NY,,Sale,-22.01,
07/17/2026,07/17/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-51.24,
07/17/2026,07/17/2026,TST* TARTINE BAKERY 0091,,Sale,-60.65,
07/18/2026,07/18/2026,SAFEWAY #1842 FREMONT CA,,Sale,-49.32,
07/19/2026,07/19/2026,BT*HBO MAX 877-871-4204,,Sale,-16.99,
07/19/2026,07/19/2026,CHEVRON 0345678 UNION CITY CA,,Sale,-53.14,
07/19/2026,07/19/2026,IN N OUT BURGER 234,,Sale,-50.94,
07/19/2026,07/19/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-40.78,
07/20/2026,07/20/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-89.37,
07/20/2026,07/20/2026,SHELL OIL 57444216508,,Sale,-49.69,
07/20/2026,07/20/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-86.07,
07/21/2026,07/21/2026,SHELL OIL 57444216508,,Sale,-73.49,
07/23/2026,07/23/2026,SAFEWAY #1842 FREMONT CA,,Sale,-39.88,
07/23/2026,07/23/2026,SQ *PHILZ COFFEE,,Sale,-56.39,
07/23/2026,07/23/2026,TARGET T-2213 UNION CITY CA,,Sale,-80.50,
07/24/2026,07/24/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-49.99,
07/24/2026,07/24/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-7.75,
07/24/2026,07/24/2026,TST* TARTINE BAKERY 0091,,Sale,-50.53,
07/25/2026,07/25/2026,GOOGLE*HULU,,Sale,-9.99,
07/26/2026,07/26/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-90.99,
07/27/2026,07/27/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-90.85,
07/27/2026,07/27/2026,IN N OUT BURGER 234,,Sale,-43.17,
07/27/2026,07/27/2026,PSP*convenient store NY,,Sale,-83.67,
07/28/2026,07/28/2026,ZXC* Site Access 800-123-4567,,Sale,-12.00,
07/29/2026,07/29/2026,TARGET T-2213 UNION CITY CA,,Sale,-55.61,
07/30/2026,07/30/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-69.10,
07/30/2026,07/30/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-42.07,
07/30/2026,07/30/2026,PAYPAL *ETSY INC 4029357733,,Sale,-47.22,
07/31/2026,07/31/2026,IN N OUT BURGER 234,,Sale,-40.81,
07/31/2026,07/31/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-14.01,
08/01/2026,08/01/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-42.47,
08/01/2026,08/01/2026,PUBLIX #1397 MIAMI FL,,Sale,-37.01,
08/01/2026,08/01/2026,VENMO*PAYMENT,,Sale,-91.80,
08/02/2026,08/02/2026,SQ *PHILZ COFFEE,,Sale,-16.02,
08/02/2026,08/02/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-88.49,
08/03/2026,08/03/2026,AMAZON WEB SERVICES AWS.AMAZON.CO,,Sale,-53.55,
08/03/2026,08/03/2026,NETFLIX.COM,,Sale,-26.99,
08/03/2026,08/03/2026,TARGET T-2213 UNION CITY CA,,Sale,-5.89,
08/03/2026,08/03/2026,TARGET T-2213 UNION CITY CA,,Sale,-37.78,
08/04/2026,08/04/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-5.17,
08/04/2026,08/04/2026,SQ *PHILZ COFFEE,,Sale,-62.98,
08/05/2026,08/05/2026,PUBLIX #1397 MIAMI FL,,Sale,-38.09,
08/06/2026,08/06/2026,IN N OUT BURGER 234,,Sale,-81.69,
08/07/2026,08/07/2026,AMAZON PRIME*MW4XY2,,Sale,-14.99,
08/09/2026,08/09/2026,CLAUDE.AI SUBSCRIPTION,,Sale,-20.00,
08/09/2026,08/09/2026,TRADER JOE'S #123 FREMONT CA,,Sale,-5.16,
08/10/2026,08/10/2026,IN N OUT BURGER 234,,Sale,-31.48,
08/10/2026,08/10/2026,PAYPAL *ETSY INC 4029357733,,Sale,-44.36,
08/10/2026,08/10/2026,VENMO*PAYMENT,,Sale,-29.04,
08/11/2026,08/11/2026,APPLE.COM/BILL 866-712-7753,,Sale,-16.99,
08/11/2026,08/11/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-4.94,
08/11/2026,08/11/2026,PUBLIX #1397 MIAMI FL,,Sale,-73.61,
08/13/2026,08/13/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-64.36,
08/13/2026,08/13/2026,PUBLIX #1397 MIAMI FL,,Sale,-94.84,
08/13/2026,08/13/2026,SQ *PHILZ COFFEE,,Sale,-83.49,
08/14/2026,08/14/2026,7-ELEVEN 33812 FREMONT CA,,Sale,-6.06,
08/14/2026,08/14/2026,NAMECHEAP.COM*ORDER 000221907,,Sale,-44.88,
08/14/2026,08/14/2026,SUPER+ *1833-773-8471,,Sale,-8.99,
08/16/2026,08/16/2026,PUBLIX #1397 MIAMI FL,,Sale,-94.09,
08/17/2026,08/17/2026,SHELL OIL 57444216508,,Sale,-28.24,
08/17/2026,08/17/2026,TARGET T-2213 UNION CITY CA,,Sale,-68.45,
08/18/2026,08/18/2026,IN N OUT BURGER 234,,Sale,-93.60,
08/19/2026,08/19/2026,HBOMAX.COM,,Sale,-16.99,
08/19/2026,08/19/2026,IN N OUT BURGER 234,,Sale,-87.70,
08/19/2026,08/19/2026,PAYPAL *ETSY INC 4029357733,,Sale,-85.01,
08/21/2026,08/21/2026,AMZN Mktp US*2K4LM9DX3,,Sale,-29.75,
08/21/2026,08/21/2026,IN N OUT BURGER 234,,Sale,-69.54,
